#trace82	trace84	trace86	trace88
-73.029396	-128.4382	-59.426483	-108.52293
-71.495796	-158.50772	-50.048916	-115.04697
-71.056473	-181.08496	-48.39048	-121.47968
-72.297272	-180.46687	-53.524799	-128.5856
-79.770081	-162.52614	-59.506161	-131.67744
-92.026443	-139.73579	-63.168766	-126.21716
-102.89207	-117.58667	-63.994061	-114.69448
-111.75053	-100.30382	-62.065769	-104.19191
-122.18765	-94.290192	-59.828278	-98.340942
-132.73158	-100.57087	-60.827587	-95.891716
-137.05685	-111.98219	-65.227592	-97.258003
-132.7869	-123.82207	-69.216827	-106.84615
-124.31677	-140.84972	-69.544769	-123.40388
-117.70757	-163.96255	-68.40818	-137.08583
-115.94403	-181.73239	-70.61702	-142.21169
-117.75631	-183.84935	-75.859955	-145.05269
-119.15816	-170.56898	-79.11515	-156.30045
-117.39688	-149.00087	-78.294579	-177.50591
-114.11194	-128.00795	-77.483826	-197.10336
-112.96067	-115.56152	-83.489334	-202.56184
-115.5109	-116.43564	-98.68055	-193.94572
-119.71098	-128.19974	-117.55399	-181.32816
-121.87976	-141.26804	-133.13869	-172.37889
-120.65648	-146.65497	-141.06075	-168.95865
-118.68954	-143.17021	-139.37706	-171.43695
-120.62829	-136.26263	-132.2009	-178.36006
-127.82821	-131.59392	-128.83272	-185.93593
-135.38763	-130.39125	-133.89624	-192.22922
-136.50943	-132.21021	-143.36302	-197.67534
-129.10114	-137.25131	-152.32527	-203.07431
-116.56218	-141.81708	-158.76982	-208.72737
-103.45956	-139.55109	-160.89842	-211.00052
-93.324524	-130.59285	-155.69406	-204.76967
-89.425835	-122.10224	-140.37639	-191.42822
-92.93116	-118.50309	-118.21249	-177.66621
-102.05871	-118.87143	-99.668114	-166.83983
-116.10993	-121.54957	-92.124107	-157.03378
-133.39313	-124.55315	-92.90435	-148.90353
-147.60779	-124.53028	-94.135666	-147.07564
-154.38066	-119.80225	-91.460793	-152.43256
-154.06215	-113.74403	-86.683487	-161.1898
-146.77371	-110.28218	-83.189583	-167.02583
-133.24078	-107.84554	-81.195625	-163.24889
-118.85995	-105.34328	-78.570671	-149.35333
-110.94465	-105.81591	-74.726555	-132.05692
-113.93151	-109.18637	-70.744293	-118.05206
-126.6389	-110.80066	-67.16922	-109.37512
