#trace90	trace92	trace94
-12.649606	-26.447592	6.4534864
-13.882817	-24.654228	8.2962265
-12.628527	-20.50802	12.43766
-10.041784	-16.815525	17.436106
-7.5399723	-12.983807	19.723232
-5.3205247	-7.490922	19.485382
-3.6660659	-1.2534904	20.53307
-2.5428629	2.9693546	23.429239
-1.7382565	3.6158063	25.367172
-1.0157523	2.1252744	25.387775
1.1921897	1.0431985	24.775866
6.413249	1.5008566	24.748848
13.428836	3.4590321	25.461521
19.762094	6.4409819	26.058815
24.145519	10.3573	25.497435
26.460785	15.335283	23.892679
27.556143	20.025948	22.862869
28.307333	22.754578	23.896276
27.988327	23.435785	26.58745
24.504318	22.933764	29.345879
16.751987	22.101768	30.979298
7.8006997	21.089516	29.84614
3.147352	19.42207	24.034361
4.7147651	16.521172	14.655077
9.8350973	11.850865	6.5455117
15.155552	5.3304505	4.1542587
19.304903	-2.0560184	7.5757842
21.616356	-7.2916403	13.940763
21.057913	-6.4758534	20.637362
18.49218	1.0395739	26.270178
16.812128	10.694703	30.173378
18.076941	16.912813	32.029343
21.632652	18.094816	31.373503
24.910727	14.99662	28.150723
26.845768	7.0455451	23.21726
28.027111	-5.523725	16.291721
28.432198	-17.56008	6.9212251
27.519447	-22.920853	-0.81801468
24.559473	-21.355238	-1.2490516
18.855352	-16.408392	5.5547833
11.84272	-10.28665	14.986444
7.78334	-4.4502983	23.287495
9.5126066	-0.066499725	29.323959
15.21872	2.5603154	32.673622
21.540024	3.2469041	31.441864
26.819441	3.4642928	24.000425
30.902338	6.3197851	13.915753
33.710228	12.624781	8.8337421
34.332726	19.594152	11.679341
31.951422	23.995132	18.684967
27.68005	25.129417	25.469107
24.512213	24.570005	29.721117
24.270866	24.138557	30.087152
26.046497	24.491226	26.439253
28.535427	24.52989	20.423178
30.655434	23.882732	13.925511
30.311203	24.343925	9.5238714
25.409416	27.005096	10.006202
17.505386	30.717674	14.778029
12.459812	33.590359	20.991735
13.376837	35.016392	26.612524
17.134977	35.38916	30.235334
20.237404	34.31414	30.246775
22.223831	31.189106	25.744987
24.010237	26.533363	18.805836
26.096447	23.113289	14.349582
27.65851	24.006409	15.707003
27.444233	28.135464	21.118828
24.395735	31.153872	26.394562
18.161818	29.860634	29.786011
11.033499	25.677437	32.27478
7.2347231	23.52739	34.72319
9.2714758	26.013037	36.399544
15.261911	31.394464	35.514809
20.730675	36.668816	31.6759
22.610075	40.303646	26.62422
20.326548	42.699074	22.118174
